,PC1,PC2,Codice_articolo,Categoria
0,-1.4576578634227193,1.7813721192815344,017.PM419,Veneziane
1,-1.7030873500219674,2.8832280172936,017.PM421,Veneziane
2,-1.4855267370151162,0.8569423936359934,017.PM422,Veneziane
3,-2.0646221153924866,1.6389962154091078,017.PM424,Veneziane
4,-2.0372842414430377,2.492167751629122,017.PM425,Veneziane
5,-1.103762658989555,2.6319943738083817,017.PM426,Veneziane
6,-0.982291779042595,2.5177706723021296,017.PM427,Veneziane
7,-1.5985594111437251,1.9063551260791782,017.PM430,Veneziane
8,-1.8385243817622923,2.491477174054028,017.PM431,Veneziane
9,-1.8061324801385448,2.7097905691442117,017.PM433,Veneziane
10,-2.0010410405479955,1.2017551744777812,017.PM543,Veneziane
11,-1.6300524929371345,2.302242784289111,017.PM414,Veneziane
12,-1.7362955542239298,2.687755509810995,017.PM417,Veneziane
13,-1.0955813517252055,1.5405739331265764,017.PM418,Veneziane
14,-1.594018492777063,1.2155808167697726,017.PM543_AL,Veneziane
15,-2.194335115695898,1.3798952040401893,017.PM544_AL,Veneziane
16,-2.1607359652062597,1.354294742734386,017.PM546_AL,Veneziane
17,-1.6434011961116246,2.8107119017259685,017.PM419_AL,Veneziane
18,-0.8812655630779352,1.8224554142740712,017.PM420_AL,Veneziane
19,-0.82619747286954,1.3424788216892296,017.PM421_AL,Veneziane
20,-2.6297754211664652,2.541587104911726,017.PM424_AL,Veneziane
21,-2.6026644967196044,1.874148025407675,017.PM425_AL,Veneziane
22,-1.1890407271447185,3.6587099705792525,017.PM426_AL,Veneziane
23,-2.0515274740705105,1.0129480353031344,017.PM430_AL,Veneziane
24,-2.5106527696562093,1.723972593605688,017.PM431_AL,Veneziane
25,-1.6180938755658252,2.662082156099964,017.PM547_AL,Veneziane
26,1.493835088448034,-2.042271399136063,017.PM152,Vetri
27,1.4518238122523763,-2.276679648085245,017.PM152,Vetri
28,1.244975977745464,-2.1239296182596097,017.PM152,Vetri
29,1.5459090108882576,-2.6497045376702015,017.PM152,Vetri
30,1.3109847512370245,-2.2272860217133945,017.PM152,Vetri
31,1.720368414049386,-2.198955308778156,017.PM152,Vetri
32,1.30867272203175,-2.219006377788403,017.PM152,Vetri
33,1.8602712012970026,-2.247698236485324,017.PM152,Vetri
34,1.7465274262305928,-2.0559643562758048,017.PM152,Vetri
35,1.463423867984336,-2.7430867473721614,017.PM152,Vetri
36,2.06970355939087,-2.328331991398487,017.PM152,Vetri
37,1.707242986938195,-2.1688414686232935,017.PM152,Vetri
38,1.937048080242084,-1.4290153036699895,017.PM152,Vetri
39,1.3913404369498577,-2.42326139056898,017.PM152,Vetri
40,1.7312034407321581,-2.5195651468031945,017.PM152,Vetri
41,1.6561520452290592,-2.1915622255265426,017.PM152,Vetri
42,1.928848719135008,-2.1304481767399666,017.PM152,Vetri
43,1.4002593587936132,-2.3010984650016546,017.PM152,Vetri
44,1.4691059933540567,-1.9804221432779694,017.PM152,Vetri
